1Rahhalatun,381,0.5,49250
1Rahhalatun,110,1.0,70053
248LaurenF,114,1.0,80832
248LaurenF,167,0.5,81765
248LaurenF,5,1.0,84152
624bryanl,477,1.0,137699
624bryanl,151,1.0,137901
624bryanl,239,1.0,138257
652rayq,211,1.0,154524
652rayq,335,1.0,155547
652rayq,460,1.0,155667
652rayq,151,1.0,155757
652rayq,310,1.0,155973
746justint,295,1.0,19072
746justint,295,1.0,51904
870JohnS,7,1.0,172321
870JohnS,335,1.0,198329
Adderley3C,230,0.5,81690
Adderley3C,220,1.0,137813
Adderley3C,338,1.0,139742
Adderley3C,5,1.0,145195
Adderley3C,28,1.0,156254
Adderley3C,282,1.0,206717
BobT187,443,1.0,109909
BobT187,268,1.0,109989
BostonFlamingo,91,0.5,864
BostonFlamingo,28,0.5,1029
BostonFlamingo,282,1.0,45833
BostonFlamingo,29,0.5,45917
BostonFlamingo,477,1.0,169562
CSSnowshoer,22,1.0,33668
CSSnowshoer,91,1.0,47438
CSSnowshoer,126,1.0,48902
CSSnowshoer,338,1.0,61910
Cait684,220,0.5,56998
Cait684,69,1.0,64881
Cait684,114,1.0,78422
Carencaren,132,1.0,193470
Carencaren,69,0.5,193715
Carencaren,484,1.0,193963
CarolD231,229,1.0,129291
CarolD231,5,1.0,129377
Charming_Karl,126,1.0,39623
Charming_Karl,29,1.0,154654
Charming_Karl,126,1.0,154744
CuriousTravelerRadio,414,1.0,191076
Danuza,16,1.0,196951
Danuza,7,1.0,197044
DaveDuff,404,1.0,123636
DaveDuff,35,1.0,178432
DaveDuff,139,1.0,186425
Deebee16384,139,1.0,83542
Deebee16384,116,1.0,163350
EmilyB6,239,1.0,16989
EmilyB6,139,1.0,17136
F9713OQwalterc,182,1.0,54917
F9713OQwalterc,16,1.0,129726
F9713OQwalterc,229,1.0,129848
F9713OQwalterc,229,1.0,138430
F9713OQwalterc,28,1.0,181256
Filmprof,28,0.5,75992
FineGueule46,114,1.0,1559
FineGueule46,84,1.0,127809
FontanaBananas,91,1.0,138725
FontanaBananas,220,1.0,138898
FontanaBananas,139,1.0,138986
GailG666,54,1.0,45702
GailG666,28,1.0,45978
JeffreyH617,151,1.0,20095
JeffreyH617,151,1.0,37599
JeffreyH617,69,1.0,77304
JenY762,5,1.0,64521
JenY762,414,1.0,69263
JenY762,414,1.0,79190
JenY762,303,1.0,83172
JenY762,230,1.0,122242
JillW655,413,0.5,136443
JillW655,126,0.5,166738
JudieF_12,29,0.5,168735
JudieF_12,282,0.5,168825
KFerg,229,0.5,111268
KFerg,7,0.5,187537
KFerg,424,1.0,192404
KLynnB,230,0.5,54747
KLynnB,395,1.0,58815
Kait_De,132,1.0,120898
Kait_De,474,1.0,124758
Kait_De,237,1.0,139122
Kait_De,257,1.0,139331
Kait_De,230,1.0,143668
Kait_De,151,1.0,143900
Kait_De,477,1.0,143990
Kait_De,413,1.0,146107
Kait_De,60,0.5,150509
Kait_De,268,1.0,156560
Kait_De,58,1.0,182109
Kait_De,381,0.5,182200
Kait_De,151,0.5,201168
Kait_De,239,0.5,203789
Kipp7272,151,1.0,2727
Kipp7272,151,0.5,68565
