0,0,svm,0.6948,0.64911
1,1,svm,0.45588,0.56756
2,2,svm,0.56036,0.66681
3,3,svm,0.47769,0.58112
4,4,svm,0.55935,0.62716
5,5,svm,0.57665,0.59286
6,6,svm,0.58832,0.55798
7,7,svm,0.54378,0.50593
8,8,svm,0.50319,0.55088
9,9,svm,0.58762,0.57962
