0::100::0.8::10,0,xg,0.58886,0.59804
0::100::0.8::15,0,xg,0.58573,0.59732
0::100::0.8::3,0,xg,0.6002,0.56333
0::100::1.0::10,0,xg,0.48833,0.5372
0::100::1.0::15,0,xg,0.49694,0.54304
0::100::1.0::3,0,xg,0.58495,0.58055
0::150::0.8::10,0,xg,0.60482,0.59465
0::150::0.8::15,0,xg,0.60819,0.58338
0::150::0.8::3,0,xg,0.60637,0.56711
0::150::1.0::10,0,xg,0.49683,0.54686
0::150::1.0::15,0,xg,0.50078,0.55401
0::150::1.0::3,0,xg,0.57609,0.58315
0::50::0.8::10,0,xg,0.56131,0.5215
0::50::0.8::15,0,xg,0.56129,0.5215
0::50::0.8::3,0,xg,0.61898,0.61115
0::50::1.0::10,0,xg,0.58902,0.57517
0::50::1.0::15,0,xg,0.58902,0.57517
0::50::1.0::3,0,xg,0.53141,0.55171
1::100::0.8::10,1,xg,0.59054,0.53274
1::100::0.8::15,1,xg,0.59043,0.53439
1::100::0.8::3,1,xg,0.605,0.52062
1::100::1.0::10,1,xg,0.46745,0.46418
1::100::1.0::15,1,xg,0.46745,0.46418
1::100::1.0::3,1,xg,0.57201,0.51806
1::150::0.8::10,1,xg,0.60455,0.51167
1::150::0.8::15,1,xg,0.60522,0.51269
1::150::0.8::3,1,xg,0.62843,0.52054
1::150::1.0::10,1,xg,0.60138,0.51178
1::150::1.0::15,1,xg,0.59778,0.51947
1::150::1.0::3,1,xg,0.54256,0.50673
1::50::0.8::10,1,xg,0.53679,0.60213
1::50::0.8::15,1,xg,0.53679,0.60213
1::50::0.8::3,1,xg,0.53232,0.59551
1::50::1.0::10,1,xg,0.49543,0.51474
1::50::1.0::15,1,xg,0.49543,0.51474
1::50::1.0::3,1,xg,0.49543,0.51474
2::100::0.8::10,2,xg,0.56292,0.57038
2::100::0.8::15,2,xg,0.56734,0.57728
2::100::0.8::3,2,xg,0.60832,0.60436
2::100::1.0::10,2,xg,0.50815,0.53598
2::100::1.0::15,2,xg,0.50815,0.53598
2::100::1.0::3,2,xg,0.50815,0.53598
2::150::0.8::10,2,xg,0.6189,0.61166
